Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Market,Category,Sales,Quantity,Profit,Shipping Cost,Order Priority,Elapsed Time,Day,Date,Month,Year
UP-2011-3090,2011-03-01,Same Day,BS-11800,Bryan Spruell,Home Office,Ukraine,EMEA,"Furniture, Office Supplies",390.84,8,127.8,54.3,Medium,0,Tuesday,1,March,2011
ES-2011-1517387,2011-03-01,Standard Class,CM-12235,Chris McAfee,Consumer,France,EU,Office Supplies,106.8,4,29.88,16.48,Low,7,Tuesday,1,March,2011
IN-2011-56738,2011-03-01,Standard Class,RF-19345,Randy Ferguson,Corporate,Japan,APAC,Furniture,351.75,7,59.64,15.91,Medium,4,Tuesday,1,March,2011
IN-2011-26946,2011-03-01,Standard Class,LH-17155,Logan Haushalter,Consumer,Indonesia,APAC,"Furniture, Office Supplies",348.12,11,-12.24,29.59,Medium,5,Tuesday,1,March,2011
ES-2011-2010166,2011-03-01,Standard Class,LO-17170,Lori Olson,Corporate,Germany,EU,Technology,151.36,2,-5.06,14.22,Medium,4,Tuesday,1,March,2011
ID-2011-50144,2011-03-01,Standard Class,LH-17155,Logan Haushalter,Consumer,Australia,APAC,"Office Supplies, Technology",115.74,4,-53.58,17.86,High,4,Tuesday,1,March,2011
ES-2011-1416586,2011-03-01,Second Class,EL-13735,Ed Ludwig,Home Office,Germany,EU,"Office Supplies, Technology",295.49,15,47.78,12.74,Medium,3,Tuesday,1,March,2011
IN-2011-52146,2011-03-01,Standard Class,BD-11620,Brian DeCherney,Consumer,Australia,APAC,Office Supplies,21.55,6,4.27,1.02,Medium,4,Tuesday,1,March,2011
ES-2011-3227800,2011-03-01,Standard Class,JF-15490,Jeremy Farry,Consumer,Italy,EU,Office Supplies,17.82,2,3.18,0.97,Medium,4,Tuesday,1,March,2011
NI-2011-190,2011-03-01,Standard Class,EH-13765,Edward Hooks,Corporate,Nigeria,Africa,Office Supplies,25.32,1,-28.71,0.79,Medium,5,Tuesday,1,March,2011
US-2011-143707,2011-03-01,Standard Class,HR-14770,Hallie Redmond,Home Office,United States,US,Technology,5.94,3,1.6,0.42,Medium,4,Tuesday,1,March,2011
IT-2011-3468929,2011-04-01,First Class,AS-10045,Aaron Smayling,Corporate,Italy,EU,Technology,496.58,6,-289.84,122.65,High,3,Friday,1,April,2011
ES-2011-4237527,2011-04-01,First Class,BP-11230,Benjamin Patterson,Consumer,Italy,EU,"Office Supplies, Technology",576.99,12,152.28,104.24,High,3,Friday,1,April,2011
ID-2011-77192,2011-04-01,Standard Class,RP-19270,Rachel Payne,Corporate,South Korea,APAC,"Furniture, Office Supplies",621.48,14,-22.32,53.07,Medium,4,Friday,1,April,2011
US-2011-132899,2011-04-01,Second Class,JB-15400,Jennifer Braxton,Corporate,Peru,LATAM,"Furniture, Office Supplies, Technology",481.7,22,-162.58,48.41,Medium,4,Friday,1,April,2011
ID-2011-72096,2011-04-01,Standard Class,PA-19060,Pete Armstrong,Home Office,Philippines,APAC,Office Supplies,109.03,4,24.43,20.46,High,4,Friday,1,April,2011
US-2011-148852,2011-04-01,Second Class,VP-21760,Victoria Pisteka,Corporate,Panama,LATAM,Office Supplies,96.48,8,-50.24,12.93,High,3,Friday,1,April,2011
MX-2011-167773,2011-04-01,Standard Class,LS-17245,Lynn Smith,Consumer,Colombia,LATAM,"Office Supplies, Technology",80.64,8,13.38,9.16,High,4,Friday,1,April,2011
US-2011-157021,2011-04-01,Second Class,KM-16720,Kunst Miller,Consumer,United States,US,Office Supplies,46.69,6,20.35,3.66,Medium,5,Friday,1,April,2011
CA-2011-138359,2011-04-01,Standard Class,KH-16330,Katharine Harms,Corporate,United States,US,Office Supplies,73.2,6,5.74,1.91,Medium,5,Friday,1,April,2011
IN-2011-30824,2011-06-01,First Class,AB-10060,Adam Bellavance,Home Office,Indonesia,APAC,Furniture,1252.09,11,333.7,208.58,Medium,2,Wednesday,1,June,2011
ES-2011-3108517,2011-06-01,Standard Class,MH-17620,Matt Hagelstein,Corporate,Ireland,EU,"Furniture, Office Supplies",1082.6,8,-262.27,146.67,High,5,Wednesday,1,June,2011
CA-2011-131926,2011-06-01,Second Class,DW-13480,Dianna Wilson,Home Office,United States,US,"Furniture, Office Supplies",3745.63,24,1154.67,217.12,Medium,5,Wednesday,1,June,2011
US-2011-165659,2011-06-01,Standard Class,LT-17110,Liz Thompson,Consumer,United States,US,"Furniture, Technology",904.13,13,238.4,115.0,High,5,Wednesday,1,June,2011
ES-2011-5940123,2011-06-01,Second Class,MC-18130,Mike Caudle,Corporate,United Kingdom,EU,"Office Supplies, Technology",1767.39,27,453.45,180.5,Medium,3,Wednesday,1,June,2011
MX-2011-147158,2011-06-01,Standard Class,YS-21880,Yana Sorensen,Corporate,Nicaragua,LATAM,Furniture,482.48,2,130.24,66.7,High,5,Wednesday,1,June,2011
MX-2011-136322,2011-06-01,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,Mexico,LATAM,Technology,389.48,7,23.24,40.18,Medium,4,Wednesday,1,June,2011
MX-2011-144743,2011-06-01,First Class,NZ-18565,Nick Zandusky,Home Office,Brazil,LATAM,Technology,222.56,2,109.04,34.93,High,3,Wednesday,1,June,2011
MX-2011-105494,2011-06-01,Same Day,PA-19060,Pete Armstrong,Home Office,Mexico,LATAM,Office Supplies,90.3,5,31.6,27.41,Critical,0,Wednesday,1,June,2011
ES-2011-1441570,2011-06-01,Standard Class,MF-18250,Monica Federle,Corporate,France,EU,Technology,211.8,2,69.72,23.66,High,4,Wednesday,1,June,2011
TU-2011-7020,2011-06-01,Same Day,WB-11850,William Brown,Consumer,Turkey,EMEA,Office Supplies,152.65,8,-147.47,29.25,Critical,0,Wednesday,1,June,2011
ES-2011-1010958,2011-06-01,Standard Class,LT-17110,Liz Thompson,Consumer,France,EU,Office Supplies,198.0,8,34.2,25.15,High,5,Wednesday,1,June,2011
MX-2011-137946,2011-06-01,First Class,CB-12535,Claudia Bergmann,Corporate,Mexico,LATAM,Technology,50.8,2,22.32,15.18,Critical,2,Wednesday,1,June,2011
CA-2011-111003,2011-06-01,Standard Class,CR-12625,Corey Roper,Home Office,United States,US,Office Supplies,334.68,9,104.79,15.68,Medium,5,Wednesday,1,June,2011
ES-2011-2801336,2011-06-01,Standard Class,DB-13270,Deborah Brumfield,Home Office,Spain,EU,Office Supplies,102.54,2,35.88,13.91,High,4,Wednesday,1,June,2011
US-2011-157070,2011-06-01,Standard Class,QJ-19255,Quincy Jones,Corporate,United States,US,Office Supplies,204.08,9,78.89,17.06,Medium,5,Wednesday,1,June,2011
IN-2011-80272,2011-06-01,First Class,EB-13930,Eric Barreto,Consumer,Australia,APAC,Office Supplies,58.1,2,6.74,10.37,Critical,3,Wednesday,1,June,2011
PL-2011-3160,2011-06-01,Standard Class,AA-10375,Allen Armold,Consumer,Poland,EMEA,"Office Supplies, Technology",114.3,3,16.17,14.11,High,4,Wednesday,1,June,2011
IN-2011-71634,2011-06-01,Standard Class,MC-17425,Mark Cousins,Corporate,India,APAC,Office Supplies,62.7,5,9.9,4.18,Medium,5,Wednesday,1,June,2011
ES-2011-4040727,2011-06-01,First Class,AJ-10795,Anthony Johnson,Corporate,United Kingdom,EU,Office Supplies,22.14,2,6.84,1.62,Medium,3,Wednesday,1,June,2011
SO-2011-3360,2011-06-01,Second Class,AJ-10945,Ashley Jarboe,Consumer,Somalia,Africa,Office Supplies,32.04,3,10.2,2.3,Medium,3,Wednesday,1,June,2011
ID-2011-69142,2011-07-01,Second Class,MP-18175,Mike Pelletier,Home Office,China,APAC,Furniture,2511.1,8,-224.3,253.63,High,2,Friday,1,July,2011
CA-2011-160773,2011-07-01,Standard Class,LW-16825,Laurel Workman,Corporate,United States,US,"Office Supplies, Technology",581.1,8,68.36,93.79,High,4,Friday,1,July,2011
MX-2011-126641,2011-07-01,First Class,FW-14395,Fred Wasserman,Corporate,El Salvador,LATAM,"Furniture, Office Supplies",664.1,17,185.24,77.09,Critical,2,Friday,1,July,2011
ES-2011-5729514,2011-07-01,First Class,JH-16180,Justin Hirsh,Consumer,United Kingdom,EU,Office Supplies,34.02,2,14.28,11.12,High,2,Friday,1,July,2011
NI-2011-3020,2011-07-01,First Class,SP-10860,Sung Pak,Corporate,Nigeria,Africa,"Furniture, Office Supplies",34.42,4,-64.94,11.54,Critical,3,Friday,1,July,2011
CA-2011-153150,2011-07-01,Second Class,Dl-13600,Dorris liebe,Corporate,United States,US,Office Supplies,19.92,5,6.97,1.44,Medium,5,Friday,1,July,2011
IN-2011-75673,2011-08-01,First Class,MT-17815,Meg Tillman,Consumer,China,APAC,"Office Supplies, Technology",1727.01,12,431.46,328.79,High,1,Monday,1,August,2011
TU-2011-9230,2011-08-01,Standard Class,JF-15190,Jamie Frazer,Consumer,Turkey,EMEA,"Furniture, Office Supplies",1562.74,14,-1911.47,133.09,High,4,Monday,1,August,2011
SU-2011-3310,2011-08-01,Standard Class,CS-12460,Chuck Sachs,Consumer,Sudan,Africa,"Furniture, Office Supplies",934.59,3,14.55,70.18,Medium,5,Monday,1,August,2011
ES-2011-2264751,2011-08-01,Standard Class,CT-11995,Carol Triggs,Consumer,France,EU,Furniture,270.38,3,75.08,26.31,Low,7,Monday,1,August,2011
ES-2011-5532122,2011-08-01,Second Class,RD-19810,Ross DeVincentis,Home Office,Germany,EU,"Office Supplies, Technology",450.28,16,47.08,60.63,High,2,Monday,1,August,2011
LO-2011-7110,2011-08-01,Standard Class,JL-15850,John Lucas,Consumer,Slovakia,EMEA,"Furniture, Office Supplies",636.87,9,34.32,51.42,High,4,Monday,1,August,2011
EG-2011-8320,2011-08-01,First Class,HG-14845,Harry Greene,Consumer,Egypt,Africa,Office Supplies,99.48,2,23.82,22.71,High,3,Monday,1,August,2011
NI-2011-47601,2011-08-01,Second Class,DV-13045,Darrin Van Huff,Corporate,Nigeria,Africa,Office Supplies,92.42,6,-178.84,22.79,Critical,2,Monday,1,August,2011
IN-2011-77885,2011-08-01,Standard Class,JF-15565,Jill Fjeld,Consumer,Philippines,APAC,"Furniture, Office Supplies, Technology",380.77,8,-52.61,19.36,Medium,5,Monday,1,August,2011
SA-2011-4390,2011-08-01,Standard Class,LC-16870,Lena Cacioppo,Consumer,Saudi Arabia,EMEA,Office Supplies,209.4,7,93.21,11.1,Medium,6,Monday,1,August,2011
NI-2011-5880,2011-08-01,Standard Class,JL-15835,John Lee,Consumer,Nigeria,Africa,Office Supplies,90.23,6,-147.55,8.11,Medium,5,Monday,1,August,2011
CA-2011-117345,2011-08-01,Standard Class,BF-10975,Barbara Fisher,Corporate,United States,US,"Furniture, Office Supplies",202.89,10,57.64,17.95,Medium,4,Monday,1,August,2011
TU-2011-9700,2011-08-01,Standard Class,FH-14365,Fred Hopkins,Corporate,Turkey,EMEA,Technology,44.09,1,-46.3,4.17,Medium,4,Monday,1,August,2011
CA-2011-152296,2011-08-01,First Class,IL-15100,Ivan Liston,Consumer,United States,US,Office Supplies,19.75,3,6.91,3.23,High,2,Monday,1,August,2011
IR-2011-6870,2011-08-01,Standard Class,KB-16600,Ken Brennan,Corporate,Iran,EMEA,Office Supplies,13.26,1,6.09,1.26,Medium,4,Monday,1,August,2011
TU-2011-24202,2011-08-01,Standard Class,DH-13075,Dave Hallsten,Corporate,Turkey,EMEA,Technology,16.12,1,-19.34,0.97,High,5,Monday,1,August,2011
CG-2011-7090,2011-08-01,Standard Class,AG-10525,Andy Gerbode,Corporate,Democratic Republic of the Congo,Africa,Office Supplies,13.14,2,5.22,0.83,Medium,6,Monday,1,August,2011
CA-2011-162684,2011-08-01,Standard Class,AS-10630,Ann Steele,Home Office,United States,US,Office Supplies,5.68,2,1.92,0.77,High,5,Monday,1,August,2011
IN-2011-25070,2011-09-01,Standard Class,MN-17935,Michael Nguyen,Consumer,China,APAC,"Furniture, Office Supplies, Technology",3770.34,20,735.33,431.68,High,5,Thursday,1,September,2011
ES-2011-49932452,2011-09-01,Second Class,EM-13960,Eric Murdock,Consumer,United Kingdom,EU,Technology,1232.88,4,135.6,150.43,Medium,4,Thursday,1,September,2011
MX-2011-126949,2011-09-01,First Class,TB-21055,Ted Butterfield,Consumer,Nicaragua,LATAM,Office Supplies,182.88,9,3.6,44.76,High,1,Thursday,1,September,2011
IT-2011-4081442,2011-09-01,First Class,FH-14365,Fred Hopkins,Corporate,Norway,EU,Office Supplies,243.0,4,119.04,41.83,Critical,3,Thursday,1,September,2011
CA-2011-109855,2011-09-01,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,US,"Office Supplies, Technology",380.74,5,65.43,33.96,High,4,Thursday,1,September,2011
CA-2011-3200,2011-09-01,Second Class,JS-15595,Jill Stevenson,Corporate,Canada,Canada,Technology,137.94,1,6.87,17.43,Medium,3,Thursday,1,September,2011
MX-2011-141782,2011-09-01,Second Class,LB-16795,Laurel Beltran,Home Office,Peru,LATAM,Furniture,533.93,3,-0.39,32.27,Medium,3,Thursday,1,September,2011
IN-2011-82337,2011-09-01,Standard Class,DL-12865,Dan Lawera,Consumer,New Zealand,APAC,Furniture,87.9,2,21.96,15.25,High,4,Thursday,1,September,2011
MX-2011-110555,2011-09-01,Standard Class,ES-14080,Erin Smith,Corporate,Mexico,LATAM,Office Supplies,144.52,4,43.68,13.09,Medium,4,Thursday,1,September,2011
MX-2011-145380,2011-09-01,Standard Class,GP-14740,Guy Phonely,Corporate,Nicaragua,LATAM,Office Supplies,121.78,8,4.22,15.19,High,5,Thursday,1,September,2011
CA-2011-165428,2011-09-01,First Class,JL-15130,Jack Lebron,Consumer,United States,US,Office Supplies,34.75,9,4.87,10.6,High,3,Thursday,1,September,2011
IT-2011-4626649,2011-09-01,Standard Class,PN-18775,Parhena Norris,Home Office,Germany,EU,Office Supplies,137.76,6,22.2,10.41,Medium,4,Thursday,1,September,2011
ID-2011-57326,2011-09-01,First Class,BO-11425,Bobby Odegard,Consumer,Philippines,APAC,Office Supplies,64.35,3,-32.76,3.1,High,3,Thursday,1,September,2011
ES-2011-2123345,2011-09-01,First Class,DB-12910,Daniel Byrd,Home Office,United Kingdom,EU,Office Supplies,60.54,2,20.58,2.51,Medium,3,Thursday,1,September,2011
EG-2011-1630,2011-09-01,Standard Class,JL-15130,Jack Lebron,Consumer,Egypt,Africa,Office Supplies,24.0,1,2.88,2.51,High,4,Thursday,1,September,2011
CA-2011-126522,2011-09-01,Second Class,LT-16765,Larry Tron,Consumer,United States,US,Office Supplies,53.94,3,15.64,1.8,High,4,Thursday,1,September,2011
ES-2011-20959312,2011-09-01,Second Class,CC-12610,Corey Catlett,Corporate,France,EU,Office Supplies,21.42,3,5.31,1.27,Medium,3,Thursday,1,September,2011
SO-2011-6480,2011-09-01,Second Class,SW-10755,Steven Ward,Corporate,Somalia,Africa,Office Supplies,18.24,4,6.48,1.02,Medium,5,Thursday,1,September,2011
KE-2011-6940,2011-10-01,Standard Class,AC-10615,Ann Chong,Corporate,Kenya,Africa,"Office Supplies, Technology",1095.96,7,412.2,100.84,High,4,Saturday,1,October,2011
MX-2011-133662,2011-10-01,Standard Class,EH-14185,Evan Henry,Consumer,Cuba,LATAM,"Office Supplies, Technology",253.98,4,46.78,20.53,High,4,Saturday,1,October,2011
HU-2011-7450,2011-10-01,Standard Class,GH-14665,Greg Hansen,Consumer,Hungary,EMEA,Office Supplies,103.56,2,18.6,14.05,Low,7,Saturday,1,October,2011
CG-2011-8400,2011-10-01,Standard Class,AF-10870,Art Ferguson,Consumer,Democratic Republic of the Congo,Africa,Office Supplies,113.67,7,4.65,14.16,High,5,Saturday,1,October,2011
US-2011-154767,2011-10-01,Standard Class,EB-13750,Edward Becker,Corporate,Venezuela,LATAM,Office Supplies,52.33,7,-34.05,3.74,Medium,4,Saturday,1,October,2011
US-2011-132745,2011-10-01,Standard Class,NF-18475,Neil Französisch,Home Office,United States,US,Office Supplies,4.71,1,0.0,0.63,High,4,Saturday,1,October,2011
CA-2011-134313,2011-11-01,Standard Class,RA-19915,Russell Applegate,Consumer,United States,US,"Office Supplies, Technology",2027.15,7,252.32,237.25,Medium,6,Tuesday,1,November,2011
IN-2011-47701,2011-11-01,Same Day,MV-17485,Mark Van Huff,Consumer,Singapore,APAC,"Office Supplies, Technology",922.17,8,256.38,178.48,High,0,Tuesday,1,November,2011
IT-2011-4243443,2011-11-01,Second Class,DF-13135,David Flashing,Consumer,United Kingdom,EU,Technology,1592.7,5,652.95,144.5,Medium,5,Tuesday,1,November,2011
SA-2011-1130,2011-11-01,First Class,HR-14770,Hallie Redmond,Home Office,Saudi Arabia,EMEA,"Office Supplies, Technology",2172.24,24,246.24,182.63,Medium,1,Tuesday,1,November,2011
ID-2011-77619,2011-11-01,First Class,MK-18160,Mike Kennedy,Consumer,South Korea,APAC,"Furniture, Office Supplies, Technology",1551.67,43,-797.58,326.98,Critical,1,Tuesday,1,November,2011
CA-2011-5260,2011-11-01,Second Class,LC-17140,Logan Currie,Consumer,Canada,Canada,"Office Supplies, Technology",922.5,4,135.66,124.42,Medium,4,Tuesday,1,November,2011
ES-2011-4915337,2011-11-01,Standard Class,JG-15115,Jack Garza,Consumer,Italy,EU,"Furniture, Office Supplies, Technology",2674.81,27,388.6,182.56,Medium,5,Tuesday,1,November,2011
CA-2011-102673,2011-11-01,Standard Class,KH-16630,Ken Heidel,Corporate,United States,US,"Office Supplies, Technology",1044.44,29,127.97,62.13,Medium,4,Tuesday,1,November,2011
CA-2011-148915,2011-11-01,Standard Class,ND-18370,Natalie DeCherney,Consumer,United States,US,"Office Supplies, Technology",599.9,8,-39.74,58.18,High,4,Tuesday,1,November,2011
MX-2011-114741,2011-11-01,Standard Class,JG-15805,John Grady,Corporate,Mexico,LATAM,"Furniture, Office Supplies",425.93,4,33.97,60.33,High,4,Tuesday,1,November,2011
IT-2011-4711868,2011-11-01,Standard Class,RB-19330,Randy Bradley,Consumer,Germany,EU,Office Supplies,1240.79,15,427.79,65.51,Medium,5,Tuesday,1,November,2011
MX-2011-135104,2011-11-01,First Class,TT-21460,Tonja Turnell,Home Office,Honduras,LATAM,"Office Supplies, Technology",336.5,11,-147.82,50.43,Medium,2,Tuesday,1,November,2011
TZ-2011-1130,2011-11-01,Second Class,CM-11815,Candace McMahon,Corporate,Tanzania,Africa,Technology,200.39,6,11.03,37.24,High,2,Tuesday,1,November,2011
US-2011-137155,2011-11-01,Standard Class,DL-12925,Daniel Lacy,Consumer,United States,US,"Furniture, Office Supplies",733.56,12,246.95,34.46,Medium,4,Tuesday,1,November,2011
IN-2011-30341,2011-11-01,Standard Class,BD-11635,Brian Derr,Consumer,India,APAC,"Furniture, Office Supplies",578.91,11,167.01,39.31,High,5,Tuesday,1,November,2011
ES-2011-5383642,2011-11-01,Standard Class,KD-16270,Karen Daniels,Consumer,Germany,EU,"Office Supplies, Technology",801.5,13,99.35,53.69,Medium,4,Tuesday,1,November,2011
ES-2011-3257006,2011-11-01,Standard Class,AA-10480,Andrew Allen,Consumer,France,EU,Office Supplies,112.21,4,4.93,11.42,High,5,Tuesday,1,November,2011
CA-2011-139423,2011-11-01,Standard Class,DG-13300,Deirdre Greer,Corporate,United States,US,Office Supplies,76.12,2,22.07,9.65,High,4,Tuesday,1,November,2011
TU-2011-5840,2011-11-01,Standard Class,CD-12790,Cynthia Delaney,Home Office,Turkey,EMEA,"Office Supplies, Technology",105.53,5,-85.66,14.99,High,4,Tuesday,1,November,2011
CA-2011-152562,2011-11-01,Standard Class,JO-15145,Jack O'Briant,Corporate,United States,US,Office Supplies,75.16,5,21.11,8.96,Low,7,Tuesday,1,November,2011
US-2011-151624,2011-11-01,Standard Class,ML-17410,Maris LaWare,Consumer,Dominican Republic,LATAM,Furniture,94.13,3,-10.63,7.72,Medium,6,Tuesday,1,November,2011
CA-2011-114195,2011-11-01,First Class,EA-14035,Erin Ashbrook,Corporate,United States,US,"Furniture, Office Supplies",94.26,7,-4.23,9.07,Medium,2,Tuesday,1,November,2011
MO-2011-8450,2011-11-01,Second Class,AH-10075,Adam Hart,Corporate,Morocco,Africa,Technology,46.41,1,23.19,6.08,High,5,Tuesday,1,November,2011
TU-2011-6640,2011-11-01,Second Class,FC-14245,Frank Carlisle,Home Office,Turkey,EMEA,Office Supplies,18.77,2,-12.25,3.98,Medium,4,Tuesday,1,November,2011
EG-2011-120,2011-11-01,Standard Class,SJ-10215,Sarah Jordon,Consumer,Egypt,Africa,Office Supplies,28.62,6,12.24,3.24,Medium,6,Tuesday,1,November,2011
CA-2011-168305,2011-11-01,Standard Class,PL-18925,Paul Lucas,Home Office,United States,US,Office Supplies,65.8,8,31.83,3.69,Medium,7,Tuesday,1,November,2011
MX-2011-108560,2011-11-01,First Class,TB-21055,Ted Butterfield,Consumer,Mexico,LATAM,Office Supplies,8.84,2,4.24,2.22,High,2,Tuesday,1,November,2011
AL-2011-4500,2011-11-01,Standard Class,EM-13825,Elizabeth Moffitt,Corporate,Albania,EMEA,Office Supplies,77.16,4,6.63,5.54,Medium,4,Tuesday,1,November,2011
CA-2011-126907,2011-11-01,Standard Class,SM-20950,Suzanne McNair,Corporate,United States,US,Office Supplies,15.7,3,5.1,1.82,Low,7,Tuesday,1,November,2011
MX-2011-114790,2011-11-01,Standard Class,JD-15790,John Dryer,Consumer,Brazil,LATAM,Office Supplies,23.64,3,3.06,1.51,Medium,4,Tuesday,1,November,2011
CA-2011-120474,2011-12-01,First Class,RP-19390,Resi Pölking,Consumer,United States,US,"Furniture, Office Supplies",2854.48,12,686.47,496.03,High,2,Thursday,1,December,2011
ES-2011-5125239,2011-12-01,Standard Class,MG-17875,Michael Grace,Home Office,Belgium,EU,Technology,1795.92,7,843.99,154.61,High,5,Thursday,1,December,2011
CA-2011-150798,2011-12-01,Second Class,JK-15730,Joe Kamberova,Consumer,United States,US,"Furniture, Office Supplies, Technology",1614.13,17,72.14,196.27,Medium,2,Thursday,1,December,2011
US-2011-161613,2011-12-01,Second Class,MC-17605,Matt Connell,Corporate,United States,US,Furniture,674.06,3,-19.26,123.32,Critical,2,Thursday,1,December,2011
ID-2011-86313,2011-12-01,Standard Class,YC-21895,Yoseph Carroll,Corporate,New Zealand,APAC,Furniture,1181.02,4,-334.7,86.99,Medium,6,Thursday,1,December,2011
ES-2011-3614277,2011-12-01,Second Class,SL-20155,Sara Luxemburg,Home Office,Spain,EU,"Office Supplies, Technology",2005.94,7,698.12,96.09,High,2,Thursday,1,December,2011
IT-2011-5515844,2011-12-01,First Class,LO-17170,Lori Olson,Corporate,Sweden,EU,Office Supplies,180.08,7,-90.2,69.75,Critical,2,Thursday,1,December,2011
CA-2011-143210,2011-12-01,First Class,AA-10645,Anna Andreadi,Consumer,United States,US,"Furniture, Technology",327.56,7,97.68,69.65,High,2,Thursday,1,December,2011
IN-2011-38895,2011-12-01,First Class,AH-10585,Angele Hood,Consumer,Afghanistan,APAC,Furniture,219.78,2,59.34,36.24,Critical,3,Thursday,1,December,2011
MX-2011-149272,2011-12-01,Standard Class,CV-12295,Christina VanderZanden,Consumer,Bolivia,LATAM,Furniture,1103.28,13,316.58,49.23,Medium,4,Thursday,1,December,2011
IT-2011-5348771,2011-12-01,Standard Class,SC-20725,Steven Cartwright,Consumer,France,EU,Office Supplies,404.11,10,-40.0,30.71,Medium,4,Thursday,1,December,2011
IN-2011-30033,2011-12-01,Standard Class,KT-16465,Kean Takahito,Consumer,Vietnam,APAC,"Furniture, Office Supplies, Technology",280.46,10,59.0,20.3,Medium,5,Thursday,1,December,2011
